start_dt,arv_dt,start_emd,arv_emd,sex_nm,agegrd_nm,start_arv_place_type,mvmn_time_sum,mvmn_dstc,popl_cnt
2019-09-30 10:00,2019-10-01 10:00,1120066,3241031,F,60,EE,1434,145225,3.80
2019-09-30 10:00,2019-10-01 10:00,3811463,1102054,F,65,EE,1435,294771,4.71
2019-09-30 10:20,2019-10-01 00:00,3902031,1118061,F,25,EE,816,471453,2.04
2019-09-30 10:20,2019-10-01 00:20,3107033,1112051,M,55,EH,833,63975,3.30
2019-09-30 10:20,2019-10-01 00:20,3404033,1124065,M,35,WH,851,76156,2.69
2019-09-30 10:20,2019-10-01 00:40,1113075,3201067,M,50,EH,855,77586,3.31
2019-09-30 10:20,2019-10-01 01:00,1103073,3647036,M,25,EE,870,368176,2.28
2019-09-30 10:20,2019-10-01 01:00,1108083,3503059,F,15,HE,875,182552,3.96
2019-09-30 10:20,2019-10-01 01:00,1116069,3902013,M,20,EE,874,453225,2.70
2019-09-30 10:20,2019-10-01 01:20,1103073,2405061,M,20,EE,891,257728,2.70
2019-09-30 10:20,2019-10-01 01:20,1108063,3531034,M,35,EE,894,189593,2.71
2019-09-30 10:20,2019-10-01 01:20,1116069,3902032,F,40,EE,885,470127,3.44
2019-09-30 10:20,2019-10-01 06:00,1125054,3438012,M,35,HE,1185,131130,2.73
2019-09-30 10:20,2019-10-01 06:40,1116069,3902052,F,15,EE,1237,479137,4.08
2019-09-30 10:20,2019-10-01 06:40,3237032,1116069,F,55,HE,1230,93949,3.28
2019-09-30 10:20,2019-10-01 07:00,3538041,1105059,M,45,EW,1241,221916,3.16
2019-09-30 10:20,2019-10-01 07:20,2204057,1114061,M,20,EH,1260,238689,2.70
2019-09-30 10:20,2019-10-01 07:40,1116069,3637011,M,40,EE,1271,276992,3.00
2019-09-30 10:20,2019-10-01 07:40,1124057,2404056,M,35,WE,1281,261204,2.72
2019-09-30 10:20,2019-10-01 07:40,3203059,1111066,M,20,EE,1282,163832,2.72
2019-09-30 10:20,2019-10-01 08:00,1120052,3302034,M,45,EE,1301,87349,3.17
2019-09-30 10:20,2019-10-01 08:00,1124082,3127040,M,60,EE,1298,76762,3.45
2019-09-30 10:20,2019-10-01 08:20,1116069,3901012,F,30,HE,1324,453978,2.40
2019-09-30 10:20,2019-10-01 08:20,3501173,1123065,F,30,EW,1320,186284,2.37
2019-09-30 10:20,2019-10-01 08:40,1102067,3401159,M,65,WE,1345,81876,4.06
2019-09-30 10:20,2019-10-01 09:20,3206060,1124081,M,50,EW,1379,151741,3.30
2019-09-30 10:20,2019-10-01 09:40,3337012,1119054,M,30,EE,1404,84906,2.37
2019-09-30 10:20,2019-10-01 10:00,1104067,3631038,M,35,WE,1420,239740,2.71
2019-09-30 10:20,2019-10-01 10:00,2504054,1123058,F,60,WE,1409,128596,3.83
2019-09-30 10:40,2019-10-01 00:00,2207075,1112067,M,40,EH,791,243081,3.00
2019-09-30 10:40,2019-10-01 00:00,3401260,1122053,F,50,EE,810,72903,3.15
2019-09-30 10:40,2019-10-01 00:00,3902013,1124061,F,25,EH,782,448310,2.04
2019-09-30 10:40,2019-10-01 00:20,1101071,2103066,M,50,EH,821,326709,6.05
2019-09-30 10:40,2019-10-01 00:20,1124061,2504067,M,20,EH,806,125303,2.71
2019-09-30 10:40,2019-10-01 00:40,1116069,3902013,M,40,EH,834,453338,3.01
2019-09-30 10:40,2019-10-01 01:00,1116069,3901052,F,25,EE,865,449582,2.06
2019-09-30 10:40,2019-10-01 01:00,1116069,3902062,F,40,EE,864,480113,3.43
2019-09-30 10:40,2019-10-01 01:00,1123058,3504053,F,20,HE,852,216361,2.19
2019-09-30 10:40,2019-10-01 01:00,3127037,1122060,M,50,EW,863,56646,3.28
2019-09-30 10:40,2019-10-01 01:20,1124054,3235013,M,25,HE,885,152040,2.28
2019-09-30 10:40,2019-10-01 01:20,2402066,1115054,F,25,EH,892,264888,2.06
2019-09-30 10:40,2019-10-01 01:20,3121034,1104056,F,30,EE,879,47902,2.39
2019-09-30 10:40,2019-10-01 01:20,3304412,1123063,F,25,WE,868,92827,2.06
2019-09-30 10:40,2019-10-01 01:40,3202038,1120071,M,40,EH,901,99271,2.99
2019-09-30 10:40,2019-10-01 02:20,3122053,1105059,F,45,EE,928,61589,3.34
2019-09-30 10:40,2019-10-01 03:40,1102069,3201035,F,25,EH,1017,60148,2.07
2019-09-30 10:40,2019-10-01 04:40,3124036,1125056,M,40,EE,1088,57450,2.99
2019-09-30 10:40,2019-10-01 05:40,1124058,2301064,M,50,HE,1134,60683,3.27
2019-09-30 10:40,2019-10-01 07:00,2504054,1118051,M,35,EE,1226,130928,2.69
2019-09-30 10:40,2019-10-01 07:00,3302032,1117068,F,30,EE,1234,125729,2.40
2019-09-30 10:40,2019-10-01 07:40,3206057,1101061,M,60,EE,1246,155938,3.53
2019-09-30 10:40,2019-10-01 08:20,3122032,1114066,M,45,EW,1302,72551,3.18
2019-09-30 10:40,2019-10-01 09:00,2901053,1123058,M,45,WE,1339,114037,3.18
2019-09-30 10:40,2019-10-01 09:20,1101063,2110059,M,75,WW,1352,326601,5.99
2019-09-30 10:40,2019-10-01 09:20,1124062,3404012,M,20,EE,1360,84862,2.71
2019-09-30 10:40,2019-10-01 09:40,1119072,3403032,F,55,EE,1380,129147,3.29
